name of company,college name,region,year,Salary
INFOSYS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,618371
QUINNOX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,448273
TATA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,95384
GODREJ INFOTECH,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,373761
INFOGAIN,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,423141
ZENSAR TECHNOLOGIES,COLLEGE OF ENGINEERING PUNE,PUNE,2018,1089338
INDUS VALLEY PARTNERS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,780005
IBM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,439783
MU SIGMA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,709027
GENPACT,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,623983
ATIDAN,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,806133
MICROSOFT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1150416
AMAZON,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,451820
INDUS VALLEY PARTNERS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,797986
TCS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,41110
WNS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,466649
BHARAT PETROLEUM,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2018,374159
CMC,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,434761
EDELWEISS FINANCIAL SERVICES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,923138
